country_name,year,population
China,2020,"1,439,323,776"
Thailand,2020,"69,799,978"
Germany,2020,"83,783,942"
Myanmar,2020,"54,409,800"
Kenya,2020,"53,771,296"
Italy,2020,"60,461,826"
South Africa,2020,"59,308,690"
Tanzania,2020,"59,734,218"
France,2020,"65,273,511"
United Kingdom,2020,"67,886,011"
Iran,2020,"83,992,949"
Turkey,2020,"84,339,067"
DR Congo,2020,"89,561,403"
Vietnam,2020,"97,338,579"
Niue,2019,"1,615"
Egypt,2020,"102,334,404"
Kiribati,2020,"119,449"
Holy See,2019,799
Tokelau,2019,"1,340"
Falkland Islands,2019,"3,377"
Philippines,2020,"109,581,078"
Montserrat,2019,"4,989"
Nauru,2019,"10,756"
Saint Helena,2019,"6,059"
Saint Pierre & Miquelon,2019,"5,822"
Tuvalu,2019,"11,646"
Wallis & Futuna,2019,"11,432"
Cook Islands,2019,"17,548"
Palau,2019,"18,008"
Anguilla,2019,"14,869"
Caribbean Netherlands,2019,"25,979"
British Virgin Islands,2019,"30,030"
Gibraltar,2019,"33,701"
San Marino,2019,"33,860"
Turks and Caicos,2019,"38,191"
Monaco,2019,"38,964"
Sint Maarten,2019,"42,388"
Faeroe Islands,2019,"48,678"
Liechtenstein,2019,"38,019"
Saint Kitts & Nevis,2019,"52,823"
American Samoa,2019,"55,312"
Greenland,2019,"56,672"
Cayman Islands,2019,"64,948"
Bermuda,2019,"62,506"
Northern Mariana Islands,2019,"57,216"
Dominica,2019,"71,808"
Marshall Islands,2019,"58,791"
Isle of Man,2019,"84,584"
Andorra,2019,"77,142"
Antigua and Barbuda,2020,"97,929"
Seychelles,2020,"98,347"
U.S. Virgin Islands,2020,"104,425"
Tonga,2020,"105,695"
Grenada,2020,"112,523"
Micronesia,2019,"113,815"
Guam,2020,"168,775"
Aruba,2020,"106,766"
St. Vincent & Grenadines,2020,"110,940"
Curaçao,2020,"164,093"
Saint Lucia,2020,"183,627"
Channel Islands,2020,"173,863"
Samoa,2020,"198,414"
Mayotte,2020,"272,815"
Barbados,2020,"287,375"
Sao Tome & Principe,2020,"219,159"
French Guiana,2020,"298,682"
New Caledonia,2020,"285,498"
Vanuatu,2020,"307,145"
French Polynesia,2020,"280,908"
Iceland,2020,"341,243"
Martinique,2020,"375,265"
Guadeloupe,2020,"400,124"
Malta,2020,"441,543"
Bahamas,2020,"393,244"
Cabo Verde,2020,"555,987"
Belize,2020,"397,628"
Maldives,2020,"540,544"
Brunei ,2020,"437,479"
Suriname,2020,"586,632"
Western Sahara,2020,"597,339"
Luxembourg,2020,"625,978"
Macao,2020,"649,335"
Solomon Islands,2020,"686,884"
Montenegro,2020,"628,066"
Comoros,2020,"869,601"
Guyana,2020,"786,552"
Fiji,2020,"896,445"
Réunion,2020,"895,312"
